n,handedness,mean,sd
138,strong_left,30.910652173913043,8.852826527599477
139,mixed_left,27.22244604316547,10.183353981932619
139,mixed_right,30.150359712230212,8.95647493983712
140,strong_right,29.170571428571428,8.627503100147964
