pop,profession,creative_group,control_group,rl_sm,n_creative,n_control,PL_creative,PL_control,h,pref_success,comparison_details,include,exclude_rnr
Students,Art/Science,Science/Visual  Art,Lang/Lit,R/L,225,262,12.4,10.3,13i_3pt,preference,0 split,1,0
Students,Art/Science,Science/Visual  Art,Lang/Lit,S/M,226,263,30.8,21.2,13i_3pt,preference,SR/(M+SL),1,0
