study,profession,pop,creative_group,control_group,h,rl_sm,n,n_creative,n_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,details,include,exclude_rnr,model_obj
giotakos_2004,Art/Music,Military,Art Hobbies,Non-Art Hobbes,AHQ,S/M,NA,184,695,48.91304347826087,40.431654676258994,RR,1.0175257492613716,1.2097710041776264,1.4383379325892636,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M+SL),NA,1,1,
giotakos_2004,Art/Music,Military,Art Hobbies,Non-Art Hobbes,AHQ,R/L,NA,100,439,6,5.694760820045558,OR,0.42178252249098885,1.0570212765957447,2.6489812156689543,1.6338851186541034e-30,0.999999999999999,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,1,0,
giotakos_2004,Art/Music,Military,Art Hobbies,Non-Art Hobbes,AHQ,R/L,NA,100,439,6,5.694760820045558,RR,0.44400198199278684,1.0536,2.5001531637713144,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,1,0,
giotakos_2004,Art/Music,Military,Art Hobbies,Non-Art Hobbies,AHQ,S/M,NA,184,695,45.65217391304348,36.83453237410072,OR,1.0371572440001986,1.44046875,2.0006129559715684,4.404500218821711,0.03584422620317389,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,1,0,
giotakos_2004,Art/Music,Military,Art Hobbies,Non-Art Hobbies,AHQ,S/M,NA,184,695,45.65217391304348,36.83453237410072,RR,1.0297591266401738,1.2393851902173911,1.491684424047786,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,1,0,
shettel-neuber_1983,Art,Faculty,Art,Law,SR (3pt),S/M,NA,31,26,3.225806451612903,7.6923076923076925,OR,0.034183028155844036,0.4,4.6806853761036935,0.024555417700578983,0.8754799600093146,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Law,SR (3pt),S/M,NA,31,26,3.225806451612903,7.6923076923076925,RR,0.04026695610737182,0.4193548387096774,4.367314983538686,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Law,SR (3pt),S/M,NA,31,26,6.451612903225806,23.076923076923077,OR,0.042051735483528335,0.22988505747126436,1.2567172089548297,2.007976686332101,0.1564738816039355,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Art,Faculty,Art,Law,SR (3pt),S/M,NA,31,26,6.451612903225806,23.076923076923077,RR,0.06157198731405784,0.27956989247311825,1.2693974676952802,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Art,Faculty,Art,Law,SR (3pt),R/L,NA,30,24,3.3333333333333335,16.666666666666664,OR,0.01791701103085624,0.1724137931034483,1.6591224954387975,1.4574489795918366,0.22733645129892713,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Law,SR (3pt),R/L,NA,30,24,3.3333333333333335,16.666666666666664,RR,0.023897337099184277,0.2,1.67382666252657,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Psychology,SR (3pt),S/M,NA,31,29,3.225806451612903,0,OR,NA,Inf,Inf,7.413906191000403e-32,0.9999999999999998,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Psychology,SR (3pt),S/M,NA,31,29,3.225806451612903,0,RR,NA,Inf,Inf,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Psychology,SR (3pt),S/M,NA,31,29,6.451612903225806,3.4482758620689653,OR,0.16564206086416497,1.9310344827586208,22.511759115703946,5.9230379424269515e-31,0.9999999999999993,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Art,Faculty,Art,Psychology,SR (3pt),S/M,NA,31,29,6.451612903225806,3.4482758620689653,RR,0.17906800777941878,1.8709677419354838,19.548552166142404,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Art,Faculty,Art,Psychology,SR (3pt),R/L,NA,30,29,3.3333333333333335,3.4482758620689653,OR,0.05754876240078992,0.9655172413793104,16.198846065678698,5.53745676764336e-32,0.9999999999999998,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,Psychology,SR (3pt),R/L,NA,30,29,3.3333333333333335,3.4482758620689653,RR,0.06339878088622453,0.9666666666666667,14.739154781562737,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Art,Faculty,Art,"Law, Psychology",SR (3pt),S/M,NA,31,55,3.225806451612903,3.6363636363636362,OR,0.07684843178307277,0.8833333333333333,10.15346389865626,8.79396093553844e-31,0.9999999999999992,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,1,0,
shettel-neuber_1983,Art,Faculty,Art,"Law, Psychology",SR (3pt),S/M,NA,31,55,3.225806451612903,3.6363636363636362,RR,0.08378072149836127,0.8870967741935484,9.392861182270815,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,1,0,
shettel-neuber_1983,Art,Faculty,Art,"Law, Psychology",SR (3pt),S/M,NA,31,55,6.451612903225806,12.727272727272727,OR,0.09194725197742143,0.4729064039408867,2.4322691769322073,0.2981266371295699,0.585059241419656,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,1,1,
shettel-neuber_1983,Art,Faculty,Art,"Law, Psychology",SR (3pt),S/M,NA,31,55,6.451612903225806,12.727272727272727,RR,0.1121436381523554,0.5069124423963134,2.2913490991535013,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,1,1,
shettel-neuber_1983,Art,Faculty,Art,"Law, Psychology",SR (3pt),R/L,NA,30,53,3.3333333333333335,9.433962264150944,OR,0.03682811195439852,0.3310344827586207,2.9755483775806084,0.3480366331781424,0.5552266540804622,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,1,0,
shettel-neuber_1983,Art,Faculty,Art,"Law, Psychology",SR (3pt),R/L,NA,30,53,3.3333333333333335,9.433962264150944,RR,0.04327595804657061,0.3533333333333333,2.88484530625747,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,1,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Law,SR (3pt),S/M,NA,23,26,0,7.6923076923076925,OR,0,0,NA,0.4029433217106667,0.5255731044826771,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Law,SR (3pt),S/M,NA,23,26,0,7.6923076923076925,RR,0,0,NA,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Law,SR (3pt),S/M,NA,23,26,4.3478260869565215,23.076923076923077,OR,0.01675640201567848,0.15151515151515152,1.3700340393587642,2.1338489409141577,0.14407857627493115,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Architecture,Faculty,Architecture,Law,SR (3pt),S/M,NA,23,26,4.3478260869565215,23.076923076923077,RR,0.02446616878474487,0.18840579710144925,1.4508501389708954,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Architecture,Faculty,Architecture,Law,SR (3pt),R/L,NA,23,24,4.3478260869565215,16.666666666666664,OR,0.02339951746663175,0.22727272727272727,2.2074340907089933,0.8028963940648722,0.37022880376295114,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
