Cites	Authors	Title	Title - Relevant?	Year	Source	Publisher	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	ArticleURL	FullTextURL	Abstract - Relevant?	Unique?	RAT? (Does the study include new RAT data?)	Lefties? (Were at least 3 lefties given the RAT?)	Stats - can get ES for left vs. right?	Text - Relevant?	Details	RelatedURL
0	SA Truhon	The Relationship Between Performance on Creativity Tests and Cereb Ral Hemispheric Activation as Measured by Direction of Conjugate Lateral Eye …	1	1976		Michigan State University …		30	2023-05-22 16:25:38	CITATION								0	0	0	1	47				1	1	1	1	0	0	40 right handers, 8 left handers, no relevant stats	https://scholar.google.com/scholar?q=related:PO-SPNqJFR8J:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
333	C Gibson, BS Folley, S Park	Enhanced divergent thinking and creativity in musicians: A behavioral and near-infrared spectroscopy study	1	2009	Brain and cognition	Elsevier	https://scholar.google.com/scholar?cites=15529558933683853586&as_sdt=2005&sciodt=2007&hl=en	43	2023-05-22 16:25:38	HTML								333	23.79	111	3	14	… Remote associates test (RAT): Musicians gave more correct … attributed to increased mixed handedness or sinistrality in our … exhibit weaker degrees of handedness and greater bilateral …	https://www.sciencedirect.com/science/article/pii/S0278262608002303	https://www.sciencedirect.com/science/article/pii/S0278262608002303	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:Elm4MJIThNcJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
56	K Japardi, S Bookheimer, K Knudsen, DG Ghahremani…	Functional magnetic resonance imaging of divergent and convergent thinking in Big-C creativity	1	2018	Neuropsychologia	Elsevier	https://scholar.google.com/scholar?cites=9227193274006262209&as_sdt=2005&sciodt=2007&hl=en	55	2023-05-22 16:25:38	HTML								56	11.2	11	5	5	… Handedness was assessed using a modified Edinburgh Inventory (Oldfield, 1971), and Laterality Quotient (LQ) computed as (RL)/(R+L), where R indicates the … Remote associates test …	https://www.sciencedirect.com/science/article/pii/S0028393218300745	https://www.sciencedirect.com/science/article/pii/S0028393218300745	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:wVEEG2WTDYAJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
2	B Kraus, T Holtgraves	The Experience of Insight Facilitates Long‐Term Semantic Priming in the Right Hemisphere	1	2020	The Journal of Creative Behavior	Wiley Online Library	https://scholar.google.com/scholar?cites=572683606392665550&as_sdt=2005&sciodt=2007&hl=en	64	2023-05-22 16:25:38		10.1002/jocb.374							2	0.67	1	2	3	… remote associates test (CRA; Bowden &Jung-Beeman, 2003b) which is a variant of the remote associates test … 3 For all models reported, both gender and handedness were added as …	https://onlinelibrary.wiley.com/doi/abs/10.1002/jocb.374	https://deepblue.lib.umich.edu/bitstream/handle/2027.42/156008/jocb374.pdf?sequence=1	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:znW5r7SU8gcJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
0	S Hedley	Exploring the role of schizotypy in creative cognition	1	2020		researcharchive.vuw.ac.nz		76	2023-05-22 16:25:38									0	0	0	1	3	… In fact, I found a negative association between positive schizotypy and scores on one measure of creativity (the Remote Associates test) and a positive association between negative …	http://researcharchive.vuw.ac.nz/handle/10063/9234	https://researcharchive.vuw.ac.nz/xmlui/bitstream/handle/10063/9234/thesis_access.pdf?sequence=1	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:XAwnvgJBW38J:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
0	MC Ichinose	Cross-task Relations of Verbal Memory Performance in Schizophrenia: A Case for Cognitive Dysconnectivity	1	2015		ir.vanderbilt.edu		78	2023-05-22 16:25:38									0	0	0	1	8	The neural ‘dysconnectivity’ hypothesis of schizophrenia proposes that core symptoms of schizophrenia arise from abnormal connectivity between distinct brain regions. While this …	https://ir.vanderbilt.edu/handle/1803/12997	https://ir.vanderbilt.edu/xmlui/bitstream/handle/1803/12997/ThesisDraft_MIchinose_Jul15_Esub.pdf?sequence=1&isAllowed=y	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:o-00H3VlFLMJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
23	B Kraus, C Cadle, S Simon-Dack	EEG alpha activity is moderated by the serial order effect during divergent thinking	1	2019	Biological psychology	Elsevier	https://scholar.google.com/scholar?cites=15037827446413055372&as_sdt=2005&sciodt=2007&hl=en	87	2023-05-22 16:25:38	HTML								23	5.75	8	3	4	… In addition to these tests, both models were also run without any left handers (N = 7). The … right handers. Therefore, it is unlikely that handedness had an impact on the reported results. …	https://www.sciencedirect.com/science/article/pii/S0301051118307178	https://www.sciencedirect.com/science/article/pii/S0301051118307178	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:jNURgWMYsdAJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
6	E Frith, SE Miller, PD Loprinzi	Effects of verbal priming with acute exercise on convergent creativity	1	2022	Psychological Reports	journals.sagepub.com	https://scholar.google.com/scholar?cites=624531511246815105&as_sdt=2005&sciodt=2007&hl=en	97	2023-05-22 16:25:38	PDF	10.1177/0033294120981925							6	6	2	3	1	The acute effects of moderate-intensity treadmill exercise during anagram problem solving on subsequent creativity performance has yet to be empirically investigated, which was this …	https://journals.sagepub.com/doi/pdf/10.1177/0033294120981925	https://journals.sagepub.com/doi/pdf/10.1177/0033294120981925	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:gX_nvhnIqggJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
0	НВ Шемякина, ЖВ Нагорнова	Event-Related Changes in EEG Spectral Power Corresponding to Creative and Trivial Decisions	1	2020	… физиологический журнал им. ИМ …	rusjphysiol.org		116	2023-05-22 16:25:38	PDF								0	0	0	2	3	… The experimental task [17] was based on the modified Remote Associates Test (RAT) [5]. The RAT is … Oldfield RG The assessment and analysis of handedness: the Edinburgh inventory. …	https://rusjphysiol.org/index.php/rusjphysiol/article/download/626/390	https://rusjphysiol.org/index.php/rusjphysiol/article/download/626/390	1	1	1	1	0	0		https://scholar.google.com/scholar?q=related:G7RgDOV60UIJ:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
61	N Mendes, S Oligschläger, ME Lauckner, J Golchert…	A functional connectome phenotyping dataset including cognitive state and personality measures	1	2019	Scientific data	nature.com	https://scholar.google.com/scholar?cites=13657199167803054776&as_sdt=2005&sciodt=2007&hl=en	125	2023-05-22 16:25:38	HTML								61	15.25	12	5	4	… The metafile includes gender, age (5-year bins), body mass index, handedness, current or … Examining internal and external structure validity evidence of the Remote Associates Test. …	https://www.nature.com/articles/sdata2018307	https://www.nature.com/articles/sdata2018307	1	1	1	1	0	0	fMRI dataset with RAT, AUT (and BISBAS!). They say the collected and shared handedness data, but it is not present in the demo file. Should reach out to authors.	https://scholar.google.com/scholar?q=related:uFqpv0geiL0J:scholar.google.com/&scioq=%22remote+associates+test%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007
