profession,es_type,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
Music,OR,24,11,1.2375424428452606,1.3680567752829165,1.5123354768297916,9.000515807283924e-10,".00 [.00, .45]",random,GLMM,
Art,OR,15,8,1.2143561254088426,1.663995047514868,2.2801215065488276,0.0015330358174365055,".63 [.35, .79]",random,GLMM,
Architecture,OR,15,8,0.9310566717199805,1.1971707137515684,1.5393453066791258,0.16060696425964208,".10 [.00, .47]",random,GLMM,
Music,OR,24,11,1.2578788453679393,1.3918764084607962,1.540148277048927,1.5316468687299887e-10,".15 [.00, .48]",random,Inverse,
Art,OR,15,8,1.1581308344060504,1.6782359789877028,2.4319152184677377,0.0062253450995839775,".64 [.37, .79]",random,Inverse,
Architecture,OR,15,8,0.8563245450584559,1.190653662689638,1.655512682261695,0.29943234616728126,".20 [.00, .57]",random,Inverse,
Music,OR,24,11,1.2578788453679393,1.3918764084607962,1.540148277048927,1.5316468687299887e-10,".15 [.00, .48]",random,MH,
Art,OR,15,8,1.1581308344060504,1.6782359789877028,2.4319152184677377,0.0062253450995839775,".64 [.37, .79]",random,MH,
Architecture,OR,15,8,0.8563245450584559,1.190653662689638,1.655512682261695,0.29943234616728126,".20 [.00, .57]",random,MH,
Music,OR,24,11,1.1759106097453675,1.3444898280720303,1.537236659664622,1.4870483835518156e-5,".39 [.00, .62]",random,Peto,
Art,OR,15,8,1.1448532559452407,1.663391374198142,2.416790841436123,0.007592366093688621,".68 [.46, .81]",random,Peto,
Architecture,OR,15,8,0.699545886053726,1.033352558719547,1.5264438429278742,0.8690821740564265,".43 [.00, .69]",random,Peto,
Music,OR,24,11,1.248302154727502,1.3922177677444227,1.552725280079628,2.7851284742629947e-9,".15 [.00, .48]",random,SSW,
Art,OR,15,8,1.1324115928974852,1.665528357190517,2.449625848061117,0.009550207718580879,".64 [.37, .79]",random,SSW,
Architecture,OR,15,8,0.867821797695448,1.24036374854033,1.7728319717004142,0.23719874694635001,".20 [.00, .57]",random,SSW,
