est_id,study,profession,pop,group1,group2,h,rl_sm,n_creative,n_left_creative,n_right_creative,n_control,n_left_control,n_right_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,comparison,pref_success,include,exclude_rnr,model_obj,se,inv_var
11,preti_2007,Art,Professionals,"Writers, Painters",Noncreatives,AHQ,S/M,50,8,42,80,2,78,16,2.5,OR,1.679874227567736,7.428571428571429,32.36105546437163,6.11,0.01343676442686773,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,7.826975770680774,0.016323452551479004
12,schacter_1996,Architecture,Professionals,Architects,Non-architects,1i_3pt,R/L,141,26,115,1007,92,915,18.439716312056735,9.136047666335651,OR,1.3995896574566076,2.2485822306238186,3.612574600662163,10.62,0.00111769317670308,NA,Score,NA,SR/SL,success,1,0,NA,0.5645473489975579,3.1376121294603183
13,schacter_1996,Architecture,Professionals,Architects,Non-architects,1i_3pt,S/M,148,7,141,1048,41,1007,4.72972972972973,3.912213740458016,OR,0.5473601245151203,1.2193392146687425,2.719004987562442,0.06,0.8020982768572056,NA,Score,NA,(SR+SL)/M,success,1,0,NA,0.5540012163940204,3.2582061824743884
14,gotestam_1990,Architecture,Students,Architecture (freshmen),HS seniors,4i_3pt,R/L,60,7,53,87,14,73,11.666666666666666,16.091954022988507,OR,0.2663716892481048,0.6886792452830189,1.7876489360091363,0.26,0.6073794573020829,NA,Score,NA,(SR+MR)/(SL+ML),pref,1,0,NA,0.38808806150538294,6.639562049659186
15,gotestam_1990,Music,Students,Music (freshmen),HS seniors,4i_3pt,R/L,88,13,75,87,14,73,14.772727272727272,16.091954022988507,OR,0.4020858875743888,0.9038095238095238,2.0315849935859043,0,0.9742425006005632,NA,Score,NA,(SR+MR)/(SL+ML),pref,1,0,NA,0.41569618596688435,5.786925885615394
16,gotestam_1990,Architecture,Students,Architecture (freshmen),HS seniors,4i_3pt,S/M,60,45,15,87,69,18,75,79.3103448275862,OR,0.3602012540648349,0.7826086956521738,1.6986740026570253,0.17,0.678506486761815,NA,Score,NA,(SR+SL)/M,pref,1,0,NA,0.34145340402933244,8.57703350673165
17,gotestam_1990,Music,Students,Music (freshmen),HS seniors,4i_3pt,S/M,88,65,23,87,69,18,73.86363636363636,79.3103448275862,OR,0.36646580125752326,0.7372400756143668,1.4846308991289554,0.45,0.5015247081209606,NA,Score,NA,(SR+SL)/M,pref,1,0,NA,0.28525143999873875,12.289785670778016
18,wood_1991,Architecture,Students,Architecture students (M),General students (M),0-split,R/L,78,9,69,221,28,193,11.538461538461538,12.669683257918551,OR,0.41009696052266625,0.8990683229813665,1.974999532741936,0,0.9514684627728944,NA,Score,NA,SR/SL,pref,1,0,NA,0.3992171755611384,6.274535265719428
19,wood_1991,Architecture,Students,Architecture students (W),General students (W),Writing hand,R/L,27,1,26,149,22,127,3.7037037037037033,14.76510067114094,OR,0.0366109225183829,0.22202797202797203,1.3695693528676298,1.58,0.20812020889393532,NA,Score,NA,SR/SL,pref,1,0,NA,0.340046664342675,8.648144985876932
20,wood_1991,Architecture,Students,Architecture students (W),General students (W),Writing hand,S/M,27,2,25,149,2,147,7.4074074074074066,1.342281879194631,OR,0.9852025923255048,5.880000000000001,35.16391820754979,1.55,0.21350871733089263,NA,Score,NA,(SR+SL)/M,pref,1,0,NA,8.719220323644118,0.0131536019805634
