n,handedness,ttct_measure,mean,sd
12,right,Fluency,52.1,12.1
12,right,Flexibility,52.7,13.5
12,right,Originality,55.7,12.7
12,right,Elaboration,48.1,6.9
12,left,Fluency,56.1,11.7
12,left,Flexibility,57.3,11.3
12,left,Originality,62,10.1
12,left,Elaboration,55.2,12.5
