n,handedness,ttct_measure,mean,sd
12,right,Fluency,48,9.6
12,right,Flexibility,45.8,9.2
12,right,Originality,65.8,16.6
12,left,Fluency,46.6,5.9
12,left,Flexibility,46.9,6.1
12,left,Originality,67.9,12.7
