pop,profession,creative_group,control_group,rl_sm,n_creative,n_control,n_left_creative,n_left_control,h,pref_success,comparison_details,include,exclude_rnr
Professionals,Music,Instrumental musicians,NA,R/L,382,NA,39,NA,i1_3pt,success,SR/(M+SL),1,0
Professionals,Music,Instrumental musicians,NA,S/M,382,NA,24,NA,i1_3pt,success,(SR+SL)/M,1,0
