pop,profession,creative_group,control_group,rl_sm,n_creative,n_control,m_creative,m_control,sd_creative,sd_control,h,pref_success,comparison_details,include,exclude_rnr
Professionals,Music,Musicians,Nonmusicians,S/M,31,31,0.04,0.07,0.03,0.03,Tapping,success,Asym,1,0
Professionals,Music,Musicians,Nonmusicians,S/M,31,31,0.09,0.14,0.05,0.05,HDT,success,Asym,1,0
