pop,profession,creative_group,control_group,rl_sm,n_creative,n_control,n_left_creative,n_left_control,h,pref_success,comparison_details,include,exclude_rnr
Students/Faculty,Music,Music students and faculty,Psychology undergrads,R/L,129,1128,27,224,1i_2pt,preference,SR/(M+SL),0,0
Students/Faculty,Music,Music students and faculty,Psychology undergrads,R/L,129,1128,13,157,22i_3pt,preference,0-split,1,0
